source_repository,source_package,relationship,target_package,constraint
msys,apr,build-depends-on,libuuid-devel,
msys,apr-devel,build-depends-on,libuuid-devel,
msys,autogen,build-depends-on,autoconf,
msys,automake1.11,build-depends-on,autoconf,
msys,automake1.12,build-depends-on,autoconf,
msys,automake1.13,build-depends-on,autoconf,
msys,automake1.14,build-depends-on,autoconf,
msys,automake1.15,build-depends-on,autoconf,
msys,automake1.16,build-depends-on,autoconf,
msys,automake1.17,build-depends-on,autoconf,
msys,automake1.18,build-depends-on,autoconf,
msys,ca-certificates,build-depends-on,python3,
msys,crosstool-ng,build-depends-on,autoconf,
msys,efitools,build-depends-on,libuuid-devel,
msys,gtest,build-depends-on,sh,
msys,heimdal,build-depends-on,perl-JSON,
msys,heimdal-devel,build-depends-on,perl-JSON,
msys,heimdal-libs,build-depends-on,perl-JSON,
clangarm64,mingw-w64-clang-aarch64-3proxy,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-4th,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-4ti2,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-64tass,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-7zip,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-86box,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-FAudio,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-FAudio,build-depends-on,mingw-w64-clang-aarch64-cmake,
clangarm64,mingw-w64-clang-aarch64-FAudio,build-depends-on,mingw-w64-clang-aarch64-ninja,
clangarm64,mingw-w64-clang-aarch64-OpenSceneGraph,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-OpenSceneGraph,build-depends-on,mingw-w64-clang-aarch64-cmake,
clangarm64,mingw-w64-clang-aarch64-OpenSceneGraph,build-depends-on,mingw-w64-clang-aarch64-cyrus-sasl,
clangarm64,mingw-w64-clang-aarch64-OpenSceneGraph,build-depends-on,mingw-w64-clang-aarch64-ninja,
clangarm64,mingw-w64-clang-aarch64-OpenSceneGraph,build-depends-on,mingw-w64-clang-aarch64-wxwidgets3.2-msw,
clangarm64,mingw-w64-clang-aarch64-SDL,build-depends-on,git,
clangarm64,mingw-w64-clang-aarch64-SDL,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2,build-depends-on,mingw-w64-clang-aarch64-cmake,
clangarm64,mingw-w64-clang-aarch64-SDL2,build-depends-on,mingw-w64-clang-aarch64-ninja,
clangarm64,mingw-w64-clang-aarch64-SDL2,build-depends-on,mingw-w64-clang-aarch64-pkgconf,
clangarm64,mingw-w64-clang-aarch64-SDL2_gfx,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_gfx,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_image,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_image,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_mixer,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_mixer,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_net,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_net,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_pango,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_pango,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_pango,build-depends-on,mingw-w64-clang-aarch64-gettext-tools,
clangarm64,mingw-w64-clang-aarch64-SDL2_pango,build-depends-on,mingw-w64-clang-aarch64-pkgconf,
clangarm64,mingw-w64-clang-aarch64-SDL2_sound,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_sound,build-depends-on,mingw-w64-clang-aarch64-cmake,
clangarm64,mingw-w64-clang-aarch64-SDL2_sound,build-depends-on,mingw-w64-clang-aarch64-ninja,
clangarm64,mingw-w64-clang-aarch64-SDL2_ttf,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL2_ttf,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL2_ttf,build-depends-on,mingw-w64-clang-aarch64-cmake,
clangarm64,mingw-w64-clang-aarch64-SDL_gfx,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL_gfx,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL_image,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL_image,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL_mixer,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL_mixer,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL_mixer,build-depends-on,mingw-w64-clang-aarch64-fluidsynth,
clangarm64,mingw-w64-clang-aarch64-SDL_mixer,build-depends-on,mingw-w64-clang-aarch64-openal,
clangarm64,mingw-w64-clang-aarch64-SDL_mixer,build-depends-on,mingw-w64-clang-aarch64-smpeg,
clangarm64,mingw-w64-clang-aarch64-SDL_net,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL_net,build-depends-on,mingw-w64-clang-aarch64-cc,
clangarm64,mingw-w64-clang-aarch64-SDL_ttf,build-depends-on,mingw-w64-clang-aarch64-autotools,
clangarm64,mingw-w64-clang-aarch64-SDL_ttf,build-depends-on,mingw-w64-clang-aarch64-cc,
