repository,name,version,installed,installed_version,architecture,classification,description,groups,licenses,project_url,required_dependencies,optional_dependencies,provides,conflicts,replaces,download_size,installed_size,build_date
msys,ack,3.9.0-1,False,,any,msys-package,"A Perl-based grep replacement, aimed at programmers with large trees of heterogeneous source code",perl-modules,GPL;PerlArtistic,https://beyondgrep.com/,perl-File-Next,,perl-ack=3.9.0,perl-ack,perl-ack,65076,200604,1770484301
msys,ansible,14.2.0-1,False,,any,msys-package,Official assortment of Ansible collections,,spdx:GPL-3.0-or-later,https://pypi.org/project/ansible/,python;ansible-core>=2.21.2,,,,,38805499,511423695,1784411793
msys,ansible-core,2.21.2-1,False,,any,msys-package,Radically simple IT automation platform,,spdx:GPL-3.0-or-later,https://pypi.org/project/ansible-core,python;python-yaml;python-jinja;python-packaging;python-cryptography;python-resolvelib;msys2-runtime-devel,sshpass: for ssh connections with password,python-ansible;ansible-base,,ansible-base,3612828,23561414,1784411677
msys,apr,1.7.6-2,False,,x86_64,msys-package,The Apache Portable Runtime,libraries,spdx:Apache-2.0,https://apr.apache.org/,libxcrypt;libuuid,,,,,80662,186658,1781345022
msys,apr-devel,1.7.6-2,False,,x86_64,msys-package,Libapr headers and libraries,development,spdx:Apache-2.0,https://apr.apache.org/,apr=1.7.6;libxcrypt-devel;libuuid-devel,,,,,284399,1600983,1781345022
msys,apr-util,1.6.3-2,False,,x86_64,msys-package,The Apache Portable Runtime,libraries,spdx:Apache-2.0,https://apr.apache.org/,apr;expat;libsqlite;libxcrypt,,,,,60213,132605,1697828442
msys,apr-util-devel,1.6.3-2,False,,x86_64,msys-package,Libapr-util headers and libraries,development,spdx:Apache-2.0,https://apr.apache.org/,apr-util=1.6.3;apr-devel;libexpat-devel;libsqlite-devel,,,,,142076,747600,1697828442
msys,asciidoc,10.2.1-2,False,,any,msys-package,"Text document format for short documents, articles, books and UNIX man pages.",,GPL,https://asciidoc.org/,python;libxslt;docbook-xsl,,,,,332095,1699002,1723810978
msys,asciidoctor,2.0.26-1,False,,any,msys-package,An implementation of AsciiDoc in Ruby,,spdx:MIT,https://asciidoctor.org,ruby,,,,,531791,1593515,1777219587
msys,aspell,0.60.8.2-1,False,,x86_64,msys-package,A Free and Open Source spell checker (libraries),libraries,LGPL,http://aspell.net/,gcc-libs;gettext;libiconv;ncurses,,,,,667011,3327455,1769946053
