"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"clang64","mingw-w64-clang-x86_64-3proxy","0.9.5-1","False","","any","mingw-package","3proxy - tiny free proxy server (mingw-w64)","","spdx:BSD-3-Clause;OR;Apache-2.0;OR;LGPL-2.1-or-later;OR;GPL-2.0-or-later","https://github.com/z3APA3A/3proxy","mingw-w64-clang-x86_64-cc-libs","","","mingw-w64-clang-x86_64-libproxy","","210.40 KiB","801.10 KiB","Thu Jul 31 14:28:08 2025"
"clang64","mingw-w64-clang-x86_64-4th","3.64.1-1","False","","any","mingw-package","A Forth Compiler (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.xs4all.nl/~thebeez/4tH/index.html","","","","","","101.13 KiB","419.12 KiB","Sat May 17 03:54:47 2025"
"clang64","mingw-w64-clang-x86_64-4ti2","1.6.15-1","False","","any","mingw-package","Software package for algebraic, geometric and combinatorial problems on linear spaces (mingw-w64)","","spdx:GPL-2.0-or-later","https://4ti2.github.io/","mingw-w64-clang-x86_64-cc-libs;mingw-w64-clang-x86_64-glpk;mingw-w64-clang-x86_64-gmp;bash","","","","","1063.25 KiB","5416.43 KiB","Fri Mar  6 15:12:53 2026"
"clang64","mingw-w64-clang-x86_64-64tass","1.60.3243-1","False","","any","mingw-package","64tass is cross (turbo) assembler targeting the MOS 65xx series of micro processors (6502/65C02/R65C02/W65C02/65CE02/65816/DTV/65EL02/4510/45GS02)","","GPLv2","https://tass64.sourceforge.net/","","","","","","407.34 KiB","1349.13 KiB","Sun May 18 02:39:12 2025"
"clang64","mingw-w64-clang-x86_64-7zip","26.02-1","False","","any","mingw-package","A file archiver with a high compression ratio (mingw-w64)","","spdx:LGPL-2.1-or-later;AND;BSD-3-Clause","https://7-zip.org","mingw-w64-clang-x86_64-cc-libs","","","","","1288.65 KiB","4093.62 KiB","Tue Jun 30 09:39:18 2026"
"clang64","mingw-w64-clang-x86_64-86box","5.3-1","False","","any","mingw-package","An emulator for classic IBM PC clones (mingw-w64)","","spdx:GPL-2.0-or-later","https://86box.net/","mingw-w64-clang-x86_64-cc-libs;mingw-w64-clang-x86_64-fluidsynth;mingw-w64-clang-x86_64-freetype;mingw-w64-clang-x86_64-openal;mingw-w64-clang-x86_64-libpng;mingw-w64-clang-x86_64-rtmidi;mingw-w64-clang-x86_64-libslirp;mingw-w64-clang-x86_64-qt6-base","","","","","10.43 MiB","29.79 MiB","Tue Dec 30 05:48:55 2025"
"clang64","mingw-w64-clang-x86_64-a52dec","0.7.4-5","False","","any","mingw-package","A free library for decoding ATSC A/52 streams (mingw-w64)","","GPL2","https://liba52.sourceforge.io/","","","","","","77.84 KiB","267.98 KiB","Mon Dec 18 01:27:51 2023"
"clang64","mingw-w64-clang-x86_64-aalib","1.4rc5-3","False","","any","mingw-package","A portable ASCII art graphic library (mingw-w64)","","LGPL","https://aa-project.sourceforge.net/aalib/","","","","","","168.44 KiB","552.52 KiB","Tue Aug  4 02:03:42 2026"
"clang64","mingw-w64-clang-x86_64-aas-sign","1.1.0-1","False","","any","mingw-package","Azure Artifact Signing utility (mingw-w64)","","spdx:Unlicense","https://github.com/skeeto/aas-sign","mingw-w64-clang-x86_64-cc-libs","","","","","171.88 KiB","571.68 KiB","Thu Jun  4 07:38:01 2026"
"clang64","mingw-w64-clang-x86_64-abinit","10.6.7-1","False","","any","mingw-package","Atomic-scale simulation software. (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.abinit.org","mingw-w64-clang-x86_64-fftw;mingw-w64-clang-x86_64-cc-libs;mingw-w64-clang-x86_64-libpsml;mingw-w64-clang-x86_64-libxc;mingw-w64-clang-x86_64-libxml2;mingw-w64-clang-x86_64-netcdf-fortran;mingw-w64-clang-x86_64-openblas;mingw-w64-clang-x86_64-omp","","","","","58.66 MiB","455.79 MiB","Wed May 20 07:12:00 2026"
