"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"clangarm64","mingw-w64-clang-aarch64-3proxy","0.9.5-1","False","","any","mingw-package","3proxy - tiny free proxy server (mingw-w64)","","spdx:BSD-3-Clause;OR;Apache-2.0;OR;LGPL-2.1-or-later;OR;GPL-2.0-or-later","https://github.com/z3APA3A/3proxy","mingw-w64-clang-aarch64-cc-libs","","","mingw-w64-clang-aarch64-libproxy","","195.35 KiB","720.60 KiB","Thu Jul 31 14:29:55 2025"
"clangarm64","mingw-w64-clang-aarch64-4th","3.64.1-1","False","","any","mingw-package","A Forth Compiler (mingw-w64)","","spdx:GPL-3.0-or-later","https://www.xs4all.nl/~thebeez/4tH/index.html","","","","","","93.55 KiB","418.84 KiB","Sat May 17 03:56:53 2025"
"clangarm64","mingw-w64-clang-aarch64-4ti2","1.6.15-1","False","","any","mingw-package","Software package for algebraic, geometric and combinatorial problems on linear spaces (mingw-w64)","","spdx:GPL-2.0-or-later","https://4ti2.github.io/","mingw-w64-clang-aarch64-cc-libs;mingw-w64-clang-aarch64-glpk;mingw-w64-clang-aarch64-gmp;bash","","","","","959.38 KiB","5086.05 KiB","Fri Mar  6 15:14:41 2026"
"clangarm64","mingw-w64-clang-aarch64-64tass","1.60.3243-1","False","","any","mingw-package","64tass is cross (turbo) assembler targeting the MOS 65xx series of micro processors (6502/65C02/R65C02/W65C02/65CE02/65816/DTV/65EL02/4510/45GS02)","","GPLv2","https://tass64.sourceforge.net/","","","","","","390.58 KiB","1320.13 KiB","Sun May 18 02:41:38 2025"
"clangarm64","mingw-w64-clang-aarch64-7zip","26.02-1","False","","any","mingw-package","A file archiver with a high compression ratio (mingw-w64)","","spdx:LGPL-2.1-or-later;AND;BSD-3-Clause","https://7-zip.org","mingw-w64-clang-aarch64-cc-libs","","","","","1231.96 KiB","3865.12 KiB","Tue Jun 30 09:40:53 2026"
"clangarm64","mingw-w64-clang-aarch64-86box","5.3-1","False","","any","mingw-package","An emulator for classic IBM PC clones (mingw-w64)","","spdx:GPL-2.0-or-later","https://86box.net/","mingw-w64-clang-aarch64-cc-libs;mingw-w64-clang-aarch64-fluidsynth;mingw-w64-clang-aarch64-freetype;mingw-w64-clang-aarch64-openal;mingw-w64-clang-aarch64-libpng;mingw-w64-clang-aarch64-rtmidi;mingw-w64-clang-aarch64-libslirp;mingw-w64-clang-aarch64-qt6-base","","","","","10.16 MiB","28.87 MiB","Tue Dec 30 05:51:39 2025"
"clangarm64","mingw-w64-clang-aarch64-a52dec","0.7.4-5","False","","any","mingw-package","A free library for decoding ATSC A/52 streams (mingw-w64)","","GPL2","https://liba52.sourceforge.io/","","","","","","73.71 KiB","242.61 KiB","Mon Dec 18 07:25:17 2023"
"clangarm64","mingw-w64-clang-aarch64-aalib","1.4rc5-3","False","","any","mingw-package","A portable ASCII art graphic library (mingw-w64)","","LGPL","https://aa-project.sourceforge.net/aalib/","","","","","","165.17 KiB","536.39 KiB","Tue Aug  4 02:05:24 2026"
"clangarm64","mingw-w64-clang-aarch64-aas-sign","1.1.0-1","False","","any","mingw-package","Azure Artifact Signing utility (mingw-w64)","","spdx:Unlicense","https://github.com/skeeto/aas-sign","mingw-w64-clang-aarch64-cc-libs","","","","","157.46 KiB","531.18 KiB","Thu Jun  4 07:39:53 2026"
"clangarm64","mingw-w64-clang-aarch64-abiword","3.0.8-1","False","","any","mingw-package","A word processor. (mingw-w64)","","spdx:GPL-2.0-or-later","https://gitlab.gnome.org/World/AbiWord","mingw-w64-clang-aarch64-cc-libs;mingw-w64-clang-aarch64-enchant;mingw-w64-clang-aarch64-fribidi;mingw-w64-clang-aarch64-glib2;mingw-w64-clang-aarch64-libgcrypt;mingw-w64-clang-aarch64-libgda;mingw-w64-clang-aarch64-libgsf;mingw-w64-clang-aarch64-libical;mingw-w64-clang-aarch64-libjpeg-turbo;mingw-w64-clang-aarch64-libpng;mingw-w64-clang-aarch64-librevenge;mingw-w64-clang-aarch64-libwmf;mingw-w64-clang-aarch64-libwpg;mingw-w64-clang-aarch64-libwps;mingw-w64-clang-aarch64-libxml2;mingw-w64-clang-aarch64-libxslt;mingw-w64-clang-aarch64-redland;mingw-w64-clang-aarch64-wv;mingw-w64-clang-aarch64-zlib","","","","","4.22 MiB","23.88 MiB","Mon May 18 04:57:17 2026"
"clangarm64","mingw-w64-clang-aarch64-abseil-cpp","20260526.0-1","False","","any","mingw-package","Abseil Common Libraries (C++) from Google (mingw-w64)","","spdx:Apache-2.0","https://abseil.io","mingw-w64-clang-aarch64-cc-libs;mingw-w64-clang-aarch64-libwinpthread","","","","","1624.38 KiB","11785.39 KiB","Sun Jun  7 23:05:14 2026"
"clangarm64","mingw-w64-clang-aarch64-accesskit-c","0.17.0-1","False","","any","mingw-package","Accessibility infrastructure for UI toolkits - C bindings (mingw-w64)","","spdx:Apache-2.0;OR;MIT","https://accesskit.dev","mingw-w64-clang-aarch64-cc-libs","","","","","181.60 KiB","575.68 KiB","Thu Sep  4 15:55:39 2025"
"clangarm64","mingw-w64-clang-aarch64-ada-url","4.0.0-1","False","","any","mingw-package","WHATWG-compliant and fast URL parser written in modern C++ (mingw-w64)","","spdx:Apache-2.0;OR;MIT","https://github.com/ada-url/ada","mingw-w64-clang-aarch64-cc-libs","","","","","268.49 KiB","1091.01 KiB","Wed Jul 29 10:02:22 2026"
"clangarm64","mingw-w64-clang-aarch64-adios2","2.12.1-1","False","","any","mingw-package","The Adaptable Input/Output System version 2 (mingw-w64)","","spdx:Apache-2.0","https://adios2.readthedocs.io/en/latest/","mingw-w64-clang-aarch64-aws-sdk-cpp;mingw-w64-clang-aarch64-blosc2;mingw-w64-clang-aarch64-bzip2;mingw-w64-clang-aarch64-cc-libs;mingw-w64-clang-aarch64-curl;mingw-w64-clang-aarch64-hdf5;mingw-w64-clang-aarch64-libpng;mingw-w64-clang-aarch64-libsodium;mingw-w64-clang-aarch64-libwinpthread;mingw-w64-clang-aarch64-openssl;mingw-w64-clang-aarch64-pugixml;mingw-w64-clang-aarch64-yaml-cpp;mingw-w64-clang-aarch64-sqlite3;mingw-w64-clang-aarch64-zeromq;mingw-w64-clang-aarch64-zlib","","","","","2.91 MiB","23.54 MiB","Thu Jul  2 04:20:08 2026"
"clangarm64","mingw-w64-clang-aarch64-adobe-source-code-pro-fonts","2.042u+1.062i+1.026vf-1","False","","any","mingw-package","Monospaced font family for user interface and coding environments (mingw-w64)","","custom","https://adobe-fonts.github.io/source-code-pro/","","","","","","968.08 KiB","1992.57 KiB","Tue Apr 18 13:13:07 2023"
"clangarm64","mingw-w64-clang-aarch64-adol-c","2.7.2-7","False","","any","mingw-package","Automatic Differentiation of Algorithms written in C/C++ (mingw-w64)","","spdx:EPL-1.0","https://github.com/coin-or/ADOL-C","mingw-w64-clang-aarch64-gcc-libs;mingw-w64-clang-aarch64-omp","","","","","347.99 KiB","2152.32 KiB","Thu Nov  7 11:22:15 2024"
"clangarm64","mingw-w64-clang-aarch64-advancecomp","2.6-1","False","","any","mingw-package","Recompression utilities for .zip .png .mng and .gz files using the 7-zip algorithm (mingw-w64)","","spdx:GPL-3.0-or-later","http://www.advancemame.it/comp-readme","mingw-w64-clang-aarch64-gcc-libs;mingw-w64-clang-aarch64-zlib","","","","","282.38 KiB","1396.21 KiB","Wed Oct 18 02:48:54 2023"
"clangarm64","mingw-w64-clang-aarch64-adwaita-icon-theme","50.0-1","False","","any","mingw-package","GNOME standard icons (mingw-w64)","","spdx:LGPL-3.0-or-later;OR;CC-BY-SA-3.0","https://gitlab.gnome.org/GNOME/adwaita-icon-theme","mingw-w64-clang-aarch64-adwaita-icon-theme-legacy;mingw-w64-clang-aarch64-hicolor-icon-theme;mingw-w64-clang-aarch64-librsvg;mingw-w64-clang-aarch64-gtk-update-icon-cache","","","","","1789.89 KiB","5148.89 KiB","Tue Mar 17 16:45:26 2026"
