"source_repository","source_package","relationship","target_package","constraint"
"msys","ack","runtime-depends-on","perl-File-Next",""
"msys","ansible","runtime-depends-on","ansible-core",">=2.21.2"
"msys","ansible","runtime-depends-on","python",""
"msys","ansible-core","optional-depends-on","sshpass",""
"msys","ansible-core","runtime-depends-on","msys2-runtime-devel",""
"msys","ansible-core","runtime-depends-on","python",""
"msys","ansible-core","runtime-depends-on","python-cryptography",""
"msys","ansible-core","runtime-depends-on","python-jinja",""
"msys","ansible-core","runtime-depends-on","python-packaging",""
"msys","ansible-core","runtime-depends-on","python-resolvelib",""
"msys","ansible-core","runtime-depends-on","python-yaml",""
"msys","apr","runtime-depends-on","libuuid",""
"msys","apr","runtime-depends-on","libxcrypt",""
"msys","apr-devel","runtime-depends-on","apr","=1.7.6"
"msys","apr-devel","runtime-depends-on","libuuid-devel",""
"msys","apr-devel","runtime-depends-on","libxcrypt-devel",""
"msys","apr-util","runtime-depends-on","apr",""
"msys","apr-util","runtime-depends-on","expat",""
"msys","apr-util","runtime-depends-on","libsqlite",""
"msys","apr-util","runtime-depends-on","libxcrypt",""
"msys","apr-util-devel","runtime-depends-on","apr-devel",""
"msys","apr-util-devel","runtime-depends-on","apr-util","=1.6.3"
"msys","apr-util-devel","runtime-depends-on","libexpat-devel",""
"msys","apr-util-devel","runtime-depends-on","libsqlite-devel",""
"msys","asciidoc","runtime-depends-on","docbook-xsl",""
"msys","asciidoc","runtime-depends-on","libxslt",""
"msys","asciidoc","runtime-depends-on","python",""
"msys","asciidoctor","runtime-depends-on","ruby",""
"msys","aspell","runtime-depends-on","gcc-libs",""
"msys","aspell","runtime-depends-on","gettext",""
"msys","aspell","runtime-depends-on","libiconv",""
"msys","aspell","runtime-depends-on","ncurses",""
"msys","aspell-de","runtime-depends-on","aspell",""
"msys","aspell-devel","runtime-depends-on","aspell","=0.60.8.2"
"msys","aspell-devel","runtime-depends-on","gettext-devel",""
"msys","aspell-devel","runtime-depends-on","libiconv-devel",""
"msys","aspell-devel","runtime-depends-on","ncurses-devel",""
"msys","aspell6-en","runtime-depends-on","aspell",">=0.60"
"msys","atool","optional-depends-on","bzip2",""
"msys","atool","runtime-depends-on","file",""
"msys","atool","runtime-depends-on","perl",""
"msys","autoconf-wrapper","runtime-depends-on","autoconf2.13",""
"msys","autoconf-wrapper","runtime-depends-on","autoconf2.69",""
"msys","autoconf-wrapper","runtime-depends-on","autoconf2.71",""
"msys","autoconf-wrapper","runtime-depends-on","autoconf2.72",""
"msys","autoconf-wrapper","runtime-depends-on","autoconf2.73",""
"msys","autoconf-wrapper","runtime-depends-on","bash",""
"msys","autoconf-wrapper","runtime-depends-on","sed",""
"msys","autoconf2.13","runtime-depends-on","awk",""
"msys","autoconf2.13","runtime-depends-on","bash",""
"msys","autoconf2.13","runtime-depends-on","diffutils",""
"msys","autoconf2.13","runtime-depends-on","m4",""
"msys","autoconf2.13","runtime-depends-on","perl",""
"msys","autoconf2.69","runtime-depends-on","awk",""
"msys","autoconf2.69","runtime-depends-on","bash",""
"msys","autoconf2.69","runtime-depends-on","diffutils",""
"msys","autoconf2.69","runtime-depends-on","m4",""
"msys","autoconf2.69","runtime-depends-on","perl",""
"msys","autoconf2.71","runtime-depends-on","awk",""
"msys","autoconf2.71","runtime-depends-on","bash",""
"msys","autoconf2.71","runtime-depends-on","diffutils",""
"msys","autoconf2.71","runtime-depends-on","m4",""
"msys","autoconf2.71","runtime-depends-on","perl",""
"msys","autoconf2.71","runtime-depends-on","sed",""
"msys","autoconf2.72","runtime-depends-on","awk",""
"msys","autoconf2.72","runtime-depends-on","bash",""
"msys","autoconf2.72","runtime-depends-on","diffutils",""
"msys","autoconf2.72","runtime-depends-on","m4",""
"msys","autoconf2.72","runtime-depends-on","perl",""
"msys","autoconf2.72","runtime-depends-on","sed",""
"msys","autoconf2.73","runtime-depends-on","awk",""
"msys","autoconf2.73","runtime-depends-on","bash",""
"msys","autoconf2.73","runtime-depends-on","diffutils",""
"msys","autoconf2.73","runtime-depends-on","m4",""
"msys","autoconf2.73","runtime-depends-on","perl",""
"msys","autoconf2.73","runtime-depends-on","sed",""
"msys","autogen","runtime-depends-on","gcc-libs",""
"msys","autogen","runtime-depends-on","gmp",""
"msys","autogen","runtime-depends-on","libffi",""
"msys","autogen","runtime-depends-on","libgc",""
"msys","autogen","runtime-depends-on","libguile",""
"msys","autogen","runtime-depends-on","libxcrypt",""
"msys","autogen","runtime-depends-on","libxml2",""
"msys","automake-wrapper","runtime-depends-on","automake1.11",""
"msys","automake-wrapper","runtime-depends-on","automake1.12",""
"msys","automake-wrapper","runtime-depends-on","automake1.13",""
"msys","automake-wrapper","runtime-depends-on","automake1.14",""
"msys","automake-wrapper","runtime-depends-on","automake1.15",""
"msys","automake-wrapper","runtime-depends-on","automake1.16",""
"msys","automake-wrapper","runtime-depends-on","automake1.17",""
"msys","automake-wrapper","runtime-depends-on","automake1.18",""
"msys","automake-wrapper","runtime-depends-on","bash",""
"msys","automake-wrapper","runtime-depends-on","gawk",""
"msys","automake1.11","runtime-depends-on","bash",""
"msys","automake1.11","runtime-depends-on","perl",""
"msys","automake1.12","runtime-depends-on","bash",""
"msys","automake1.12","runtime-depends-on","perl",""
"msys","automake1.13","runtime-depends-on","bash",""
"msys","automake1.13","runtime-depends-on","perl",""
"msys","automake1.14","runtime-depends-on","bash",""
"msys","automake1.14","runtime-depends-on","perl",""
"msys","automake1.15","runtime-depends-on","bash",""
"msys","automake1.15","runtime-depends-on","perl",""
"msys","automake1.16","runtime-depends-on","bash",""
"msys","automake1.16","runtime-depends-on","perl",""
"msys","automake1.17","runtime-depends-on","bash",""
"msys","automake1.17","runtime-depends-on","perl",""
"msys","automake1.18","runtime-depends-on","bash",""
"msys","automake1.18","runtime-depends-on","perl",""
"msys","autotools","runtime-depends-on","autoconf-wrapper",""
"msys","autotools","runtime-depends-on","automake-wrapper",""
"msys","autotools","runtime-depends-on","gettext",""
"msys","autotools","runtime-depends-on","libtool",""
"msys","autotools","runtime-depends-on","make",""
"msys","autotools","runtime-depends-on","pkgconf",""
"msys","axel","runtime-depends-on","gettext",""
"msys","axel","runtime-depends-on","openssl",""
"msys","base","runtime-depends-on","bash",""
"msys","base","runtime-depends-on","bash-completion",""
"msys","base","runtime-depends-on","bsdtar",""
"msys","base","runtime-depends-on","bzip2",""
"msys","base","runtime-depends-on","coreutils",""
"msys","base","runtime-depends-on","curl",""
"msys","base","runtime-depends-on","dash",""
"msys","base","runtime-depends-on","file",""
"msys","base","runtime-depends-on","filesystem",""
"msys","base","runtime-depends-on","findutils",""
"msys","base","runtime-depends-on","gawk",""
"msys","base","runtime-depends-on","getent",""
