"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","base","2022.06-1","True","2022.06-1","any","msys-package","Minimal package set to define a basic MSYS2 installation","","GPL","https://www.msys2.org","bash;bash-completion;bsdtar;bzip2;coreutils;curl;dash;file;filesystem;findutils;gawk;getent;grep;gzip;inetutils;info;less;mintty;msys2-keyring;msys2-launcher;msys2-runtime;nano;pacman;pacman-contrib;pacman-mirrors;rebase;sed;tar;time;tzcode;util-linux;wget;which;zstd","","","","","2.48 KiB","0.00 KiB","Fri Jun 17 09:19:07 2022"
"msys","bash","5.3.015-1","True","5.3.015-1","x86_64","system-package","The GNU Bourne Again shell","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/bash/bash.html","","","sh","","","2.46 MiB","12.24 MiB","Wed Jun 10 03:02:46 2026"
"msys","bash-completion","2.18.0-1","True","2.17.0-2","any","msys-package","Programmable completion for the bash shell","","spdx:GPL-2.0-only","https://github.com/scop/bash-completion","bash","","","","","228.67 KiB","2904.22 KiB","Tue Jul  7 02:33:19 2026"
"msys","brotli","1.2.0-1","True","1.2.0-1","x86_64","msys-package","Brotli compression library","","MIT","https://github.com/google/brotli","gcc-libs","","","","","372.41 KiB","984.70 KiB","Wed Nov  5 21:29:20 2025"
"msys","bsdtar","3.8.9-1","True","3.8.7-1","x86_64","msys-package","Multi-format archive and compression library","libraries","spdx:BSD-2-Clause","https://libarchive.org/","gcc-libs;libbz2;libiconv;libexpat;liblzma;liblz4;libopenssl;libzstd;zlib","","","","","370.92 KiB","994.43 KiB","Sat Aug  1 08:32:12 2026"
"msys","bzip2","1.0.8-4","True","1.0.8-4","x86_64","msys-package","A high-quality data compression program","compression","custom","http://www.bzip.org","libbz2","","","","","57.18 KiB","306.63 KiB","Sun Jun 26 02:27:27 2022"
"msys","ca-certificates","20250419-1","True","20250419-1","any","msys-package","Common CA certificates","","MPL;GPL","https://www.mozilla.org/en-US/about/governance/policies/security-group/certs/","bash;openssl;findutils;coreutils;sed;p11-kit","","","","","386.79 KiB","1050.48 KiB","Mon Jul 21 04:12:34 2025"
"msys","coreutils","8.32-5","True","8.32-5","x86_64","msys-package","The basic file, shell and text manipulation utilities of the GNU operating system","","GPL3","https://www.gnu.org/software/coreutils","gmp;libiconv;libintl","","","","","2.63 MiB","25.78 MiB","Tue Nov 15 11:07:47 2022"
"msys","curl","8.21.0-1","True","8.20.0-1","x86_64","msys-package","Multi-protocol file transfer utility","","spdx:MIT","https://curl.se/","ca-certificates;libcurl;libnghttp3;libngtcp2;libunistring;libnghttp2;libpsl;openssl;zlib","","wcurl","wcurl","wcurl","905.78 KiB","1015.12 KiB","Wed Jun 24 02:24:14 2026"
"msys","dash","0.5.13.4-1","True","0.5.13.4-1","x86_64","msys-package","A POSIX compliant shell that aims to be as small as possible","","BSD","http://gondor.apana.org.au/~herbert/dash/","grep;sed;filesystem","","","","","81.21 KiB","275.58 KiB","Fri May 15 10:44:27 2026"
