"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"mingw32","mingw-w64-i686-asciidoc","10.2.1-5","False","","any","mingw-package","AsciiDoc is a text document format for writing notes, documentation, articles, books, ebooks, slideshows, web pages, man pages and blogs (mingw-w64)","","spdx:GPL-2.0-or-later","https://github.com/asciidoc-py/asciidoc-py","mingw-w64-i686-python;mingw-w64-i686-libxslt;mingw-w64-i686-docbook-xsl","","","","","367.92 KiB","1903.37 KiB","Mon Jan 26 06:00:27 2026"
"mingw32","mingw-w64-i686-asciidoctor","2.0.26-2","False","","any","mingw-package","An implementation of AsciiDoc in Ruby (mingw-w64)","","spdx:MIT","https://asciidoctor.org/","mingw-w64-i686-ruby","","","","","376.97 KiB","1686.71 KiB","Fri Jul 31 06:20:44 2026"
"mingw32","mingw-w64-i686-autotools","2023.09.28-2","False","","any","mingw-package","A meta package for the GNU autotools build system (mingw-w64)","","GPL","https://www.gnu.org/software/automake/manual/html_node/Autotools-Introduction.html","autoconf-wrapper;automake-wrapper;make;mingw-w64-i686-libtool;mingw-w64-i686-gettext-tools;mingw-w64-i686-pkgconf","","","","","2.06 KiB","0.00 KiB","Fri Feb  2 02:36:37 2024"
"mingw32","mingw-w64-i686-binutils","2.47-3","False","","any","mingw-package","A set of programs to assemble and manipulate binary and object files (mingw-w64)","mingw-w64-i686-toolchain","spdx:GPL-3.0-or-later;AND;GPL-2.0-or-later;AND;LGPL-3.0-or-later;AND;LGPL-2.0-or-later","https://www.gnu.org/software/binutils/","mingw-w64-i686-gettext-runtime;mingw-w64-i686-libwinpthread;mingw-w64-i686-zlib;mingw-w64-i686-zstd","","","","","6.26 MiB","40.73 MiB","Mon Aug  3 10:02:33 2026"
"mingw32","mingw-w64-i686-brotli","1.2.0-1","False","","any","mingw-package","Brotli compression library (mingw-w64)","","spdx:MIT","https://github.com/google/brotli","","","","","","422.52 KiB","2006.15 KiB","Wed Nov  5 21:57:06 2025"
"mingw32","mingw-w64-i686-bzip2","1.0.8-3","False","","any","mingw-package","A high-quality data compression program (mingw-w64)","","custom","https://sourceware.org/bzip2/","mingw-w64-i686-gcc-libs","","","","","94.92 KiB","521.14 KiB","Wed Sep 27 01:58:16 2023"
"mingw32","mingw-w64-i686-c-ares","1.34.8-1","False","","any","mingw-package","C library that performs DNS requests and name resolves asynchronously (mingw-w64)","","spdx:MIT","https://c-ares.org/","","","","","","331.48 KiB","1323.18 KiB","Tue Jul  7 16:59:50 2026"
"mingw32","mingw-w64-i686-ca-certificates","20250419-1","False","","any","mingw-package","Common CA certificates (mingw-w64)","","MPL;GPL","https://www.mozilla.org/en-US/about/governance/policies/security-group/certs/","mingw-w64-i686-p11-kit","","","","","395.05 KiB","1069.59 KiB","Sat Jul 19 16:07:25 2025"
"mingw32","mingw-w64-i686-catch","3.15.3-1","False","","any","mingw-package","A modern, C++-native, header-only, test framework for unit-tests, TDD and BDD using C++11 and later (mingw-w64)","","spdx:BSL-1.0","https://github.com/catchorg/Catch2","","","","","","692.24 KiB","3319.29 KiB","Sun Jul 26 21:19:53 2026"
"mingw32","mingw-w64-i686-ccache","4.13.6-2","False","","any","mingw-package","Compiler cache that speeds up recompilation by caching previous compilations (mingw-w64)","","spdx:GPL-3.0-or-later","https://ccache.dev/","mingw-w64-i686-cc-libs;mingw-w64-i686-fmt;mingw-w64-i686-xxhash;mingw-w64-i686-zstd","","","","mingw-w64-i686-ccache-git","841.96 KiB","2319.54 KiB","Sat May  9 08:11:47 2026"
