"repository","name","version","installed","installed_version","architecture","classification","description","groups","licenses","project_url","required_dependencies","optional_dependencies","provides","conflicts","replaces","download_size","installed_size","build_date"
"msys","ack","3.9.0-1","False","","any","msys-package","A Perl-based grep replacement, aimed at programmers with large trees of heterogeneous source code","perl-modules","GPL;PerlArtistic","https://beyondgrep.com/","perl-File-Next","","perl-ack=3.9.0","perl-ack","perl-ack","63.55 KiB","195.90 KiB","Sat Feb  7 11:11:41 2026"
"msys","ansible","14.2.0-1","False","","any","msys-package","Official assortment of Ansible collections","","spdx:GPL-3.0-or-later","https://pypi.org/project/ansible/","python;ansible-core>=2.21.2","","","","","37.01 MiB","487.73 MiB","Sat Jul 18 16:56:33 2026"
"msys","ansible-core","2.21.2-1","False","","any","msys-package","Radically simple IT automation platform","","spdx:GPL-3.0-or-later","https://pypi.org/project/ansible-core","python;python-yaml;python-jinja;python-packaging;python-cryptography;python-resolvelib;msys2-runtime-devel","sshpass","python-ansible;ansible-base","","ansible-base","3.45 MiB","22.47 MiB","Sat Jul 18 16:54:37 2026"
"msys","apr","1.7.6-2","False","","x86_64","msys-package","The Apache Portable Runtime","libraries","spdx:Apache-2.0","https://apr.apache.org/","libxcrypt;libuuid","","","","","78.77 KiB","182.28 KiB","Sat Jun 13 05:03:42 2026"
"msys","apr-devel","1.7.6-2","False","","x86_64","msys-package","Libapr headers and libraries","development","spdx:Apache-2.0","https://apr.apache.org/","apr=1.7.6;libxcrypt-devel;libuuid-devel","","","","","277.73 KiB","1563.46 KiB","Sat Jun 13 05:03:42 2026"
"msys","apr-util","1.6.3-2","False","","x86_64","msys-package","The Apache Portable Runtime","libraries","spdx:Apache-2.0","https://apr.apache.org/","apr;expat;libsqlite;libxcrypt","","","","","58.80 KiB","129.50 KiB","Fri Oct 20 14:00:42 2023"
"msys","apr-util-devel","1.6.3-2","False","","x86_64","msys-package","Libapr-util headers and libraries","development","spdx:Apache-2.0","https://apr.apache.org/","apr-util=1.6.3;apr-devel;libexpat-devel;libsqlite-devel","","","","","138.75 KiB","730.08 KiB","Fri Oct 20 14:00:42 2023"
"msys","asciidoc","10.2.1-2","False","","any","msys-package","Text document format for short documents, articles, books and UNIX man pages.","","GPL","https://asciidoc.org/","python;libxslt;docbook-xsl","","","","","324.31 KiB","1659.18 KiB","Fri Aug 16 07:22:58 2024"
"msys","asciidoctor","2.0.26-1","False","","any","msys-package","An implementation of AsciiDoc in Ruby","","spdx:MIT","https://asciidoctor.org","ruby","","","","","519.33 KiB","1556.17 KiB","Sun Apr 26 11:06:27 2026"
"msys","aspell","0.60.8.2-1","False","","x86_64","msys-package","A Free and Open Source spell checker (libraries)","libraries","LGPL","http://aspell.net/","gcc-libs;gettext;libiconv;ncurses","","","","","651.38 KiB","3249.47 KiB","Sun Feb  1 05:40:53 2026"
"msys","aspell-de","20161207.7.0-1","False","","x86_64","msys-package","German dictionary for aspell","","GPL-2+","http://aspell.net/","aspell","","","","","776.79 KiB","2073.75 KiB","Sun Jun 16 12:10:29 2024"
"msys","aspell-devel","0.60.8.2-1","False","","x86_64","msys-package","Aspell headers and libraries (development)","development","LGPL","http://aspell.net/","aspell=0.60.8.2;gettext-devel;libiconv-devel;ncurses-devel","","","","","365.98 KiB","2415.50 KiB","Sun Feb  1 05:40:53 2026"
"msys","aspell6-en","2026.02.25-1","False","","x86_64","msys-package","English dictionary for aspell","","custom","http://aspell.net/","aspell>=0.60","","aspell-en","","","1214.74 KiB","4124.95 KiB","Tue Mar  3 14:33:05 2026"
"msys","atool","0.39.0-3","False","","any","msys-package","A script for managing file archives of various types","","GPL3","https://www.nongnu.org/atool/","file;perl","bzip2","","","","36.42 KiB","621.57 KiB","Sun Feb  1 06:42:25 2026"
"msys","autoconf-archive","2024.10.16-1","False","","any","msys-package","Autoconf Macro Archive","","spdx:GPL-3.0-or-later","https://www.gnu.org/software/autoconf-archive","","","gnome-common","gnome-common","gnome-common","549.70 KiB","2375.34 KiB","Tue Oct 28 23:49:21 2025"
"msys","autoconf-wrapper","20260320-1","False","","any","msys-package","Wrapper scripts for autoconf commands","","spdx:GPL-2.0-only","https://gitweb.gentoo.org/proj/autotools-wrappers.git/","bash;sed;autoconf2.73;autoconf2.72;autoconf2.71;autoconf2.69;autoconf2.13","","autoconf","autoconf","autoconf","4.89 KiB","39.39 KiB","Sat Mar 21 01:23:56 2026"
"msys","autoconf2.13","2.13-6","False","","any","msys-package","A GNU tool for automatically configuring source code","","GPL2;GPL3;custom","https://www.gnu.org/software/autoconf","awk;m4;diffutils;bash;perl","","","","","137.35 KiB","594.19 KiB","Mon Mar 20 04:10:22 2023"
"msys","autoconf2.69","2.69-4","False","","any","msys-package","A GNU tool for automatically configuring source code","","spdx:GPL-2.0-or-later;spdx:GPL-3.0-or-later;spdx:Autoconf-exception-3.0","https://www.gnu.org/software/autoconf","awk;m4;diffutils;bash;perl","","","","","284.60 KiB","1753.07 KiB","Wed Sep 13 12:07:56 2023"
"msys","autoconf2.71","2.71-4","False","","any","msys-package","A GNU tool for automatically configuring source code","","spdx:GPL-2.0-or-later;spdx:GPL-3.0-or-later;spdx:Autoconf-exception-3.0","https://www.gnu.org/software/autoconf","awk;m4;diffutils;bash;perl;sed","","","","","327.34 KiB","1955.78 KiB","Thu Oct 31 12:19:30 2024"
